book_info,book_name,book_rate,book_desc,book_url,book_comments
艾米 / 江苏文艺出版社 / 2007-9 / 25.00元,"
                山楂树之恋

                
              ",7.8,明净单纯,https://book.douban.com/subject/2243213/,"(
                    40616人评价
                )"
幾米 / 辽宁教育出版社 / 2002-2 / 32.00元,"
                地下铁

                
              ",8.3,黑暗世界中的点滴亮光,https://book.douban.com/subject/1056733/,"(
                    38971人评价
                )"
唐七公子 / 现代出版社 / 2011-1 / 39.80元,"
                华胥引（全二册）

                
              ",8.6,现实不如梦中的圆满,https://book.douban.com/subject/5916880/,"(
                    37950人评价
                )"
陈忠实 / 人民文学出版社 / 1997年 / 28.00元,"
                白鹿原

                
              ",8.6,中国乡村史诗,https://book.douban.com/subject/1085799/,"(
                    37839人评价
                )"
（日）东野圭吾 / 刘子倩 / 南海出版公司 / 2009年11月 / 19.80元,"
                嫌疑人X的献身

                
              ",9.0,东野说，这是最纯粹的爱情,https://book.douban.com/subject/4117922/,"(
                    36303人评价
                )"
[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-8 / 11.80元,"
                且听风吟

                
              ",7.7,我们通过孤独与世界沟通,https://book.douban.com/subject/1039752/,"(
                    40490人评价
                )"
[苏] 尼·奥斯特洛夫斯基 / 曹缦西 / 译林出版社 / 1996-10 / 20.00元,"
                钢铁是怎样炼成的

                
              ",7.6,激情燃烧的岁月，特殊年代的经典,https://book.douban.com/subject/1013502/,"(
                    40781人评价
                )"
安意如 / 天津教育出版社 / 2006-8 / 23.80元,"
                人生若只如初见

                
                  ",7.3,是“何事秋风悲画扇”，不是西风,https://book.douban.com/subject/1856285/,"(
                    41921人评价
                )"
张爱玲 / 花城出版社 / 1996-06 / 12.80元,"
                红玫瑰与白玫瑰

                
              ",8.4,蚊子血还是饭黏子？,https://book.douban.com/subject/1014278/,"(
                    37633人评价
                )"
天下霸唱 / 安徽文艺出版社 / 2006 / 25.0,"
                鬼吹灯之精绝古城

                
                  ",8.1,盗墓祖师名不虚传,https://book.douban.com/subject/1882933/,"(
                    38040人评价
                )"
